"row_id","MDPL2__Redshifts__snapnum","MDPL2__Redshifts__aexp","MDPL2__Redshifts__zred","MDPL2__Redshifts__orig_snapnum"
1,125,1,0,130
2,124,0.9781,0.022,129
3,123,0.9567,0.045,128
4,122,0.9357,0.069,127
5,121,0.9152,0.093,126
6,120,0.8951,0.117,125
7,119,0.8755,0.142,124
8,118,0.8564,0.168,123
9,117,0.8376,0.194,122
10,116,0.8192,0.221,121
11,115,0.8013,0.248,120
12,114,0.7837,0.276,119
13,113,0.7666,0.304,118
14,112,0.7498,0.334,117
15,111,0.7333,0.364,116
16,110,0.7173,0.394,115
17,109,0.7016,0.425,114
18,108,0.6862,0.457,113
19,107,0.6712,0.49,112
20,106,0.6565,0.523,111
21,105,0.6421,0.557,110
22,104,0.628,0.592,109
23,103,0.6142,0.628,108
24,102,0.6008,0.664,107
25,101,0.5876,0.702,106
26,100,0.5747,0.74,105
27,99,0.5622,0.779,104
28,98,0.5498,0.819,103
29,97,0.5378,0.859,102
30,96,0.526,0.901,101
31,95,0.5145,0.944,100
32,94,0.5032,0.987,99
33,93,0.4922,1.032,98
34,92,0.4814,1.077,97
35,91,0.4709,1.124,96
36,90,0.4605,1.172,95
37,89,0.4505,1.22,94
38,88,0.4406,1.27,93
39,87,0.4309,1.321,92
40,86,0.4215,1.372,91
41,85,0.4123,1.425,90
42,84,0.4032,1.48,89
43,83,0.3944,1.535,88
44,82,0.3857,1.593,87
45,81,0.3773,1.65,86
46,80,0.369,1.71,85
47,79,0.3609,1.771,84
48,78,0.353,1.833,83
49,77,0.3453,1.896,82
50,76,0.3377,1.961,81
51,75,0.3303,2.028,80
52,74,0.3231,2.095,79
53,73,0.316,2.165,78
54,72,0.3091,2.235,77
55,71,0.3023,2.308,76
56,70,0.2957,2.382,75
57,69,0.2892,2.458,74
58,68,0.2829,2.535,73
59,67,0.2767,2.614,72
60,66,0.2706,2.695,71
61,65,0.2647,2.778,70
62,64,0.2589,2.862,69
63,63,0.2532,2.949,68
64,62,0.2477,3.037,67
65,61,0.2423,3.127,66
66,60,0.2369,3.221,65
67,59,0.2318,3.314,64
68,58,0.2267,3.411,63
69,57,0.2217,3.511,62
70,56,0.2169,3.61,61
71,55,0.2121,3.715,60
72,54,0.2075,3.819,59
73,53,0.2029,3.929,58
74,52,0.1985,4.038,57
75,51,0.1941,4.152,56
76,50,0.1899,4.266,55
77,49,0.1857,4.385,54
78,48,0.1816,4.507,53
79,47,0.1777,4.627,52
80,46,0.1738,4.754,51
81,45,0.17,4.882,50
82,44,0.1662,5.017,49
83,43,0.1626,5.15,48
84,42,0.159,5.289,47
85,41,0.1555,5.431,46
86,40,0.1521,5.575,45
87,39,0.1488,5.72,44
88,38,0.1455,5.873,43
89,37,0.1424,6.022,42
90,36,0.1392,6.184,41
91,35,0.1362,6.342,40
92,34,0.1332,6.508,39
93,33,0.1303,6.675,36
94,32,0.1274,6.849,35
95,31,0.1246,7.026,34
96,30,0.1219,7.203,33
97,29,0.1192,7.389,32
98,28,0.1166,7.576,31
99,27,0.1141,7.764,30
100,26,0.1116,7.961,29
101,25,0.1091,8.166,28
102,24,0.1067,8.372,27
103,23,0.1044,8.579,26
104,22,0.1021,8.794,25
105,21,0.0999,9.01,24
106,20,0.0977,9.235,23
107,19,0.0955,9.471,22
108,18,0.0934,9.707,21
109,17,0.0914,9.941,20
110,16,0.0894,10.186,19
111,15,0.0874,10.442,18
112,14,0.0855,10.696,17
113,13,0.0836,10.962,16
114,12,0.0818,11.225,15
115,11,0.08,11.5,14
116,10,0.0783,11.771,13
117,9,0.0766,12.055,12
118,8,0.0749,12.351,11
119,7,0.0732,12.661,10
120,6,0.0716,12.966,9
121,5,0.0701,13.265,8
122,4,0.0685,13.599,7
123,3,0.067,13.925,6
124,2,0.0656,14.244,5
125,1,0.0641,14.601,4
126,0,0.0627,14.949,3
